StationID,latitude,longitude,Year,Month,Day,DryBulbCelsius,WetBulbFarenheit,WetBulbCelsius,DewPointFarenheit,DewPointCelsius,RelativeHumidity,WindSpeed,WindDirection
10397,47.1497567,-120.8057688,2019,11,9,14,56,13.2,55,13,93,6,230
10397,47.1497567,-120.8057688,2019,11,10,12.2,47,8.4,40,4.4,59,7,320
10397,47.1497567,-120.8057688,2019,11,11,10.6,40,4.5,25,-3.9,36,8,340
10397,47.1497567,-120.8057688,2019,11,12,8.3,46,7.5,44,6.7,89,15,80
10397,47.1497567,-120.8057688,2019,11,13,4.4,39,3.9,38,3.3,93,8,50
10397,47.1497567,-120.8057688,2019,11,14,10,44,6.4,36,2.2,59,5,330
10397,47.1497567,-120.8057688,2019,11,15,12.8,48,8.9,41,5,59,5,170
10397,47.1497567,-120.8057688,2019,11,16,16.7,55,12.7,49,9.4,63,6,180
10397,47.1497567,-120.8057688,2019,11,17,17.8,58,14.3,53,11.7,68,8,170
10397,47.1497567,-120.8057688,2019,11,18,18.9,62,16.5,59,15,78,6,180
10397,47.1497567,-120.8057688,2019,11,19,19.4,59,14.9,53,11.7,61,8,180
10397,47.1497567,-120.8057688,2019,11,20,18.3,63,16.9,61,16.1,87,18,190
10397,47.1497567,-120.8057688,2019,11,21,13.3,47,8.2,37,2.8,49,8,320
10397,47.1497567,-120.8057688,2019,11,22,16.1,49,9.3,36,2.2,39,5,40
10397,47.1497567,-120.8057688,2019,11,23,14,55,12.9,54,12,90,9,100
10397,47.1497567,-120.8057688,2019,11,24,17.2,61,15.9,59,15,87,6,110
10397,47.1497567,-120.8057688,2019,11,25,20.6,64,17.5,60,15.6,73,5,140
10397,47.1497567,-120.8057688,2019,11,26,18.9,63,17.1,61,16.1,84,7,180
10397,47.1497567,-120.8057688,2019,11,27,21.7,63,16.9,57,13.9,61,14,180
10397,47.1497567,-120.8057688,2019,11,28,6.7,40,4.4,35,1.7,71,9,310
10397,47.1497567,-120.8057688,2019,11,29,10.6,43,5.8,32,0,48,6,10
10397,47.1497567,-120.8057688,2019,11,30,12.2,47,8.4,40,4.4,59,14,80
10397,47.1497567,-120.8057688,2019,12,1,12.2,47,8.4,40,4.4,59,8,90
10397,47.1497567,-120.8057688,2019,12,2,15,54,12,49,9.4,70,7,200
10397,47.1497567,-120.8057688,2019,12,3,13,54,12.4,54,12,96,14,340
10397,47.1497567,-120.8057688,2019,12,4,11.1,43,6.3,33,0.6,49,9,330
10397,47.1497567,-120.8057688,2019,12,5,17.2,54,11.9,45,7.2,52,8,100
10397,47.1497567,-120.8057688,2019,12,6,15,57,13.7,55,13,87,7,350
10397,47.1497567,-120.8057688,2019,12,7,14,56,13.2,55,13,93,7,140
10397,47.1497567,-120.8057688,2019,12,8,16.7,60,15.6,59,15,90,6,80
10140,46.4199071,-118.028086,2019,11,9,13.3,41,5.1,23,-5,28,6,140
10140,46.4199071,-118.028086,2019,11,10,14.4,40,4.6,16,-8.9,19,3,240
10140,46.4199071,-118.028086,2019,11,11,6.7,38,3.1,30,-1.1,58,9,110
10140,46.4199071,-118.028086,2019,11,12,10,39,3.7,24,-4.4,36,3,350
10140,46.4199071,-118.028086,2019,11,13,14.4,39,3.6,8,-13.3,13,3,130
10140,46.4199071,-118.028086,2019,11,14,14.4,41,4.9,18,-7.8,21,5,200
10140,46.4199071,-118.028086,2019,11,15,16.1,42,5.5,17,-8.3,18,7,240
10140,46.4199071,-118.028086,2019,11,16,16.1,42,5.4,16,-8.9,17,14,250
10140,46.4199071,-118.028086,2019,11,17,10.6,41,4.9,29,-1.7,43,15,330
10140,46.4199071,-118.028086,2019,11,18,4.4,37,2.6,33,0.6,76,5,240
10140,46.4199071,-118.028086,2019,11,19,2.2,30,-1.2,20,-6.7,52,5,170
10140,46.4199071,-118.028086,2019,11,20,10.6,41,4.9,29,-1.7,43,0,0
10140,46.4199071,-118.028086,2019,11,21,10.6,40,4.3,26,-3.3,38,10,100
10140,46.4199071,-118.028086,2019,11,22,15.6,43,5.8,21,-6.1,22,17,240
10140,46.4199071,-118.028086,2019,11,23,15,42,5.6,21,-6.1,23,16,230
10140,46.4199071,-118.028086,2019,11,24,15.6,41,5.1,16,-8.9,18,10,160
10140,46.4199071,-118.028086,2019,11,25,16.1,41,5,13,-10.6,15,10,210
10140,46.4199071,-118.028086,2019,11,26,3.9,30,-1,15,-9.4,38,10,330
10140,46.4199071,-118.028086,2019,11,27,3.3,27,-2.7,4,-15.6,24,8,330
10140,46.4199071,-118.028086,2019,11,28,8.9,31,-0.4,-6,-21.1,10,0,0
10140,46.4199071,-118.028086,2019,11,29,10.6,38,3.3,20,-6.7,29,6,320
10140,46.4199071,-118.028086,2019,11,30,10.6,35,1.9,10,-12.2,19,0,0
10140,46.4199071,-118.028086,2019,12,1,17.2,42,5.6,14,-10,15,8,190
10140,46.4199071,-118.028086,2019,12,2,2.8,30,-1,19,-7.2,48,7,360
10140,46.4199071,-118.028086,2019,12,3,13.9,41,4.9,20,-6.7,24,11,80
10140,46.4199071,-118.028086,2019,12,4,12.8,43,6.2,30,-1.1,39,7,330
10140,46.4199071,-118.028086,2019,12,5,14.4,44,6.6,28,-2.2,32,11,70
10140,46.4199071,-118.028086,2019,12,6,8.9,31,-0.4,-7,-21.7,10,0,0
10140,46.4199071,-118.028086,2019,12,7,15,39,3.7,6,-14.4,12,5,50
10140,46.4199071,-118.028086,2019,12,8,17.2,42,5.6,14,-10,15,3,120
10713,45.7791053,-120.5950264,2019,11,9,11.7,46,7.8,39,3.9,59,7,360
10713,45.7791053,-120.5950264,2019,11,10,10.6,44,6.8,37,2.8,59,6,310
10713,45.7791053,-120.5950264,2019,11,11,8.9,41,4.8,32,0,54,6,120
10713,45.7791053,-120.5950264,2019,11,12,12.8,46,7.6,36,2.2,49,8,120
10713,45.7791053,-120.5950264,2019,11,13,12.2,48,8.8,42,5.6,64,0,0
10713,45.7791053,-120.5950264,2019,11,14,10.6,44,6.6,36,2.2,57,0,0
10713,45.7791053,-120.5950264,2019,11,15,7.8,45,6.9,43,6.1,89,3,180
10713,45.7791053,-120.5950264,2019,11,16,3.3,35,1.4,30,-1.1,73,8,300
10713,45.7791053,-120.5950264,2019,11,17,5,35,1.4,25,-3.9,53,20,320
10713,45.7791053,-120.5950264,2019,11,18,5.6,34,1.3,23,-5,47,9,310
10713,45.7791053,-120.5950264,2019,11,19,7.2,39,3.8,31,-0.6,58,13,300
10713,45.7791053,-120.5950264,2019,11,20,4.4,35,1.4,27,-2.8,60,5,270
10713,45.7791053,-120.5950264,2019,11,21,13.9,41,5.2,20,-6.7,24,13,130
10713,45.7791053,-120.5950264,2019,11,22,1.7,29,-1.7,18,-7.8,50,10,270
10713,45.7791053,-120.5950264,2019,11,23,1.7,29,-1.7,18,-7.8,50,6,290
10713,45.7791053,-120.5950264,2019,11,24,2.2,32,0,26,-3.3,67,3,310
10713,45.7791053,-120.5950264,2019,11,25,1.1,28,-2.3,16,-8.9,48,7,290
10713,45.7791053,-120.5950264,2019,11,26,2.8,28,-2.1,10,-12.2,33,0,0
10713,45.7791053,-120.5950264,2019,11,27,8.3,38,3.2,25,-3.9,42,0,0
10713,45.7791053,-120.5950264,2019,11,28,8.3,45,7.2,43,6.1,86,5,310
10713,45.7791053,-120.5950264,2019,11,29,6.1,38,3.4,32,0,65,8,130
10713,45.7791053,-120.5950264,2019,11,30,8.3,40,4.3,31,-0.6,54,11,280
10713,45.7791053,-120.5950264,2019,12,1,1.1,29,-1.8,19,-7.2,54,5,220
10713,45.7791053,-120.5950264,2019,12,2,2.2,30,-1,20,-6.7,52,6,160
10713,45.7791053,-120.5950264,2019,12,3,6.1,36,2,25,-3.9,49,8,120
10713,45.7791053,-120.5950264,2019,12,4,9.4,40,4.3,28,-2.2,44,3,180
10713,45.7791053,-120.5950264,2019,12,5,11.7,44,6.5,33,0.6,47,3,110
10713,45.7791053,-120.5950264,2019,12,6,12.8,44,6.4,30,-1.1,39,0,0
10713,45.7791053,-120.5950264,2019,12,7,10.6,42,5.5,31,-0.6,46,0,0
10713,45.7791053,-120.5950264,2019,12,8,5.6,31,-0.3,12,-11.1,29,8,310
10299,46.4492988,-119.3827652,2019,11,9,1.1,31,-0.7,25,-3.9,70,5,310
10299,46.4492988,-119.3827652,2019,11,10,-2.2,26,-3.5,21,-6.1,75,0,0
10299,46.4492988,-119.3827652,2019,11,11,2.2,32,0,25,-3.9,64,7,140
10299,46.4492988,-119.3827652,2019,11,12,-0.6,28,-2.4,21,-6.1,66,7,350
10299,46.4492988,-119.3827652,2019,11,13,-2.8,22,-5.4,10,-12.2,49,13,360
10299,46.4492988,-119.3827652,2019,11,14,-3,22,-5.6,9,-13,47,7,10
10299,46.4492988,-119.3827652,2019,11,15,-3.3,23,-4.7,18,-7.8,72,7,200
10299,46.4492988,-119.3827652,2019,11,16,-8.3,14,-10.2,2,-16.7,51,10,350
10299,46.4492988,-119.3827652,2019,11,17,-8,16,-8.9,10,-12,71,9,360
10299,46.4492988,-119.3827652,2019,11,18,-9,12,-11.1,-4,-20,41,6,360
10299,46.4492988,-119.3827652,2019,11,19,-8.3,14,-10.1,3,-16.1,54,7,190
10299,46.4492988,-119.3827652,2019,11,20,-9.4,12,-11.3,-2,-18.9,47,8,360
10299,46.4492988,-119.3827652,2019,11,21,-6.7,16,-8.9,3,-16.1,47,14,350
10299,46.4492988,-119.3827652,2019,11,22,-5,20,-6.4,14,-10,68,0,0
10299,46.4492988,-119.3827652,2019,11,23,-3.9,21,-6,11,-11.7,55,0,0
10299,46.4492988,-119.3827652,2019,11,24,-3.3,22,-5.5,12,-11.1,55,14,350
10299,46.4492988,-119.3827652,2019,11,25,-3.9,20,-6.6,6,-14.4,44,7,10
10299,46.4492988,-119.3827652,2019,11,26,-3.9,22,-5.4,16,-8.9,69,3,320
10299,46.4492988,-119.3827652,2019,11,27,-1.7,24,-4.3,13,-10.6,51,0,0
10299,46.4492988,-119.3827652,2019,11,28,0,29,-1.9,22,-5.6,67,13,170
10299,46.4492988,-119.3827652,2019,11,29,0.6,29,-1.8,20,-6.7,59,0,0
10299,46.4492988,-119.3827652,2019,11,30,-1.1,29,-1.9,26,-3.3,85,0,0
10299,46.4492988,-119.3827652,2019,12,1,2.8,33,0.6,27,-2.8,67,5,320
10299,46.4492988,-119.3827652,2019,12,2,2.8,36,2,34,1.1,89,6,170
10299,46.4492988,-119.3827652,2019,12,3,2.2,32,0,25,-3.9,64,15,350
10299,46.4492988,-119.3827652,2019,12,4,-1.7,24,-4.5,12,-11.1,49,21,350
10299,46.4492988,-119.3827652,2019,12,5,-0.6,27,-2.9,18,-7.8,59,9,340
10299,46.4492988,-119.3827652,2019,12,6,-1.1,25,-4.1,12,-11.1,47,13,340
10299,46.4492988,-119.3827652,2019,12,7,0.6,27,-2.5,16,-8.9,50,7,330
10299,46.4492988,-119.3827652,2019,12,8,3.3,32,0.1,22,-5.6,53,9,160
